target_pref_name,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_transformed
ATP-binding cassette sub-family G member 2,CHEMBL221371,COc1cc(O)c2c(=O)c3c(oc2c1)C(OC)Oc1c(O)cccc1-3,active,342.30300000000005,2.917200000000001,2.0,7.0,6.154901959985743
ATP-binding cassette sub-family G member 2,CHEMBL243168,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccc(OC)cc4[nH]c23)cc1,active,402.4500000000001,3.671000000000002,2.0,4.0,6.251811972993799
ATP-binding cassette sub-family G member 2,CHEMBL243167,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1OC,active,402.4500000000001,3.671000000000002,2.0,4.0,6.346787486224656
ATP-binding cassette sub-family G member 2,CHEMBL397235,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1,active,372.42400000000004,3.6624000000000017,2.0,3.0,6.455931955649724
ATP-binding cassette sub-family G member 2,CHEMBL242513,COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12,active,293.2440000000001,3.708700000000002,1.0,2.0,6.113509274827518
ATP-binding cassette sub-family G member 2,CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,active,563.6540000000001,5.5602000000000045,2.0,6.0,6.3872161432802645
ATP-binding cassette sub-family G member 2,CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,active,526.6400000000002,6.340200000000006,2.0,4.0,6.0
ATP-binding cassette sub-family G member 2,CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,6.509999358109048
ATP-binding cassette sub-family G member 2,CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,active,526.6400000000002,6.340200000000006,2.0,4.0,6.0800019690359814
ATP-binding cassette sub-family G member 2,CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,active,526.6400000000002,6.340200000000006,2.0,4.0,6.170001911302621
ATP-binding cassette sub-family G member 2,CHEMBL272036,COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1,active,377.48400000000015,5.109700000000005,1.0,4.0,6.301029995663981
