target_pref_name,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,standard_value_transformed
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145420,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccccc4)c3=O)nc2c1C,inactive,332.40700000000015,3.5579600000000022,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145438,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(Cl)cc1Cl,inactive,373.24300000000005,4.247920000000002,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145437,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(Cl)cc1,inactive,338.798,3.594520000000002,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145418,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccccc1Cl,inactive,338.798,3.594520000000002,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145434,O=c1c(Cc2ccccc2)c(-c2ccccc2)[nH]n1-c1nc2ccccc2[nH]1,inactive,366.4240000000001,4.299700000000002,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145433,Cc1c(-c2ccccc2)[nH]n(-c2nc3ccccc3[nH]2)c1=O,inactive,290.326,3.01732,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145428,Cc1[nH]n(-c2nc3c(C)cccc3[nH]2)c(=O)c1C,inactive,242.282,1.9671599999999998,2.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145426,Cc1[nH]n(-c2ccccn2)c(=O)c1C,inactive,189.21799999999993,1.17744,1.0,3.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145425,Cc1[nH]n(-c2ncccn2)c(=O)c1C,inactive,190.20599999999996,0.5724399999999998,1.0,4.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145424,Cc1[nH]n(-c2nc3ccccc3n2C)c(=O)c1C,inactive,242.28199999999998,1.6691399999999998,1.0,4.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145423,Cc1[nH]n(-c2nc3ccccc3o2)c(=O)c1C,inactive,229.23899999999998,1.9236399999999998,1.0,4.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145422,Cc1[nH]n(-c2nc3ccccc3s2)c(=O)c1C,inactive,245.307,2.3921400000000004,1.0,4.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145416,Cc1[nH]n(-c2ccccc2)c(=O)c1C,inactive,188.22999999999996,1.78244,1.0,2.0,5.0
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145432,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1CC(=O)O,inactive,272.26399999999995,0.9774199999999997,3.0,4.0,4.823908740944319
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145067,O=c1cc(-c2ccccc2)[nH]n1-c1nc2ccccc2[nH]1,intermediate,276.29900000000004,2.7089,2.0,3.0,5.142667503568732
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145450,Cc1[nH]n(-c2nc3c(C)cccc3[nH]2)c(=O)c1Cc1ccccc1,intermediate,318.38,3.2495400000000014,2.0,3.0,5.229147988357856
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3114991,Cc1ccc2[nH]c(-n3nc(-c4ccccc4)c(-c4ccccc4)c3O)nc2c1,intermediate,366.4240000000001,5.096620000000004,2.0,4.0,5.236572006437063
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145415,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(-c5ccccc5)cc4)c3=O)nc2c1,intermediate,394.4780000000001,4.916540000000004,2.0,3.0,5.275724130399211
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145445,Cc1[nH]n(-c2nc3cc(Cl)ccc3[nH]2)c(=O)c1Cc1ccccc1,intermediate,338.79800000000006,3.594520000000002,2.0,3.0,5.346787486224656
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145431,COC(=O)Cc1c(C)[nH]n(-c2nc3ccccc3[nH]2)c1=O,intermediate,286.29100000000005,1.0658199999999998,2.0,5.0,5.366531544420414
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145444,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(C(C)(C)C)cc1,intermediate,360.4610000000001,4.238620000000003,2.0,3.0,5.3872161432802645
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145421,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1C,intermediate,228.255,1.6587399999999997,2.0,3.0,5.3979400086720375
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145414,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(C(C)(C)C)cc4)c3=O)nc2c1,intermediate,374.4880000000001,4.5470400000000035,2.0,3.0,5.431798275933005
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145417,Cc1cc(=O)n(-c2nc3ccccc3[nH]2)[nH]1,intermediate,214.22800000000007,1.3503199999999997,2.0,3.0,5.443697499232712
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145435,Cc1ccc2[nH]c(-n3[nH]c(-c4ccccc4)c(C)c3=O)nc2c1,intermediate,304.35300000000007,3.3257400000000006,2.0,3.0,5.481486060122113
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145439,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(Cl)c(Cl)c1,intermediate,373.24300000000005,4.247920000000002,2.0,3.0,5.508638306165727
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145427,Cc1ccc2[nH]c(-n3[nH]c(C)c(C)c3=O)nc2c1,intermediate,242.282,1.9671599999999998,2.0,3.0,5.585026652029182
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145409,Cc1ccc(-c2ccc3[nH]c(-n4[nH]c(C)c(Cc5ccccc5)c4=O)nc3c2)cc1,intermediate,394.47800000000007,4.916540000000004,2.0,3.0,5.6777807052660805
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3114990,Oc1c(-c2ccccc2)c(-c2ccccc2)nn1-c1nc2cc(Cl)ccc2[nH]1,intermediate,386.84200000000004,5.441600000000003,2.0,4.0,5.698970004336019
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145246,Cc1[nH]n(-c2ccccn2)c(=O)c1C(=O)Nc1ccccc1,intermediate,294.31399999999996,2.12132,2.0,4.0,5.769551078621726
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145408,Cc1[nH]n(-c2nc3cc(-c4ccc(Cl)cc4)ccc3[nH]2)c(=O)c1Cc1ccccc1,intermediate,414.8960000000002,5.261520000000004,2.0,3.0,5.823908740944319
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145411,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccccc4Cl)c3=O)nc2c1,active,352.8250000000001,3.902940000000002,2.0,3.0,6.040958607678906
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145449,Cc1[nH]n(-c2nc3cc(-c4ccccc4)ccc3[nH]2)c(=O)c1Cc1ccccc1,active,380.4510000000002,4.608120000000002,2.0,3.0,6.0915149811213505
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145413,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(F)cc4)c3=O)nc2c1,active,336.37000000000006,3.3886400000000014,2.0,3.0,6.107905397309519
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145412,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(Cl)cc4)c3=O)nc2c1,active,352.8250000000001,3.902940000000002,2.0,3.0,6.1249387366083
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145430,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc2ccccc2c1,active,354.41300000000007,4.094320000000002,2.0,3.0,6.1249387366083
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145410,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccc(Cl)c(Cl)c4)c3=O)nc2c1,active,387.27000000000015,4.556340000000002,2.0,3.0,6.142667503568732
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145443,Cc1[nH]n(-c2nc3ccccc3[nH]2)c(=O)c1Cc1ccc(-c2ccccc2)cc1,active,380.4510000000001,4.608120000000003,2.0,3.0,6.142667503568732
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145452,COc1ccc(Cc2c(C)[nH]n(-c3nc4cc(C)ccc4[nH]3)c2=O)cc1,active,348.40600000000006,3.258140000000001,2.0,4.0,6.167491087293763
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145419,Cc1ccc2[nH]c(-n3[nH]c(C)c(Cc4ccccc4)c3=O)nc2c1,active,318.3800000000001,3.2495400000000014,2.0,3.0,6.173925197299173
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145448,Cc1[nH]n(-c2nc3cc(C(C)(C)C)ccc3[nH]2)c(=O)c1Cc1ccccc1,active,360.4610000000001,4.238620000000004,2.0,3.0,6.1938200260161125
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3,CHEMBL3145442,COc1ccc(Cc2c(C)[nH]n(-c3nc4ccccc4[nH]3)c2=O)cc1,active,334.3790000000001,2.949720000000001,2.0,4.0,6.200659450546418
